moviename,year,duration,rating
The Shawshank Redemption,1994,2h 22m,NA
The Godfather,1972,2h 55m,NA
The Dark Knight,2008,2h 32m,NA
The Godfather: Part II,1974,3h 22m,NA
12 Angry Men,1957,1h 36m,NA
The Lord of the Rings: The Return of the King,2003,3h 21m,NA
Schindler's List,1993,3h 15m,NA
Pulp Fiction,1994,2h 34m,NA
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,NA
" Il Buono, Il Brutto, Il Cattivo",1966,2h 41m,NA
 Forrest Gump,1994,2h 22m,NA
 The Lord of the Rings: The Two Towers,2002,2h 59m,NA
 Fight Club,1999,2h 19m,NA
 Inception,2010,2h 28m,NA
 Star Wars: Episode V - The Empire Strikes Back,1980,2h 4mU,NA
 The Matrix,1999,2h 16m,NA
 GoodFellas,1990,2h 25m,NA
 One Flew Over the Cuckoo's Nest,1975,2h 13m,NA
 Interstellar,2014,2h 49m,NA
 Se7en,1995,2h 7mA,NA
 It's a Wonderful Life,1946,2h 10m,NA
 Shichinin No Samurai,1954,3h 27m,NA
 The Silence of the Lambs,1991,1h 58m,NA
 Saving Private Ryan,1998,2h 49m,NA
 City of God,2002,2h 10m,NA
